epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08993,1.39978,5.54095,4.53614,1.67249,0.00151,0.84848,0.08763,0.06942,0.00124,0.69697,0.07491,0.05845,0.79859,2.70662,5.44472,0.97721,0.0002,0.0002,0.0002
2,8.37035,0.94955,3.34036,3.66643,1.35071,0.00161,0.90909,0.1109,0.07617,0.00134,0.75758,0.10513,0.07227,0.96333,1.82817,5.87394,1.19281,0.00039921,0.00039921,0.00039921
3,10.5429,1.02412,2.62369,3.17074,1.31719,0.00151,0.84848,0.30099,0.16137,0.00134,0.75758,0.28301,0.16251,1.14278,1.91321,6.77245,1.29129,0.00057664,0.00057664,0.00057664
4,12.5723,1.15406,2.26437,3.45104,1.38196,0.1037,0.60606,0.41224,0.27788,0.09852,0.57576,0.39369,0.2096,0.91052,1.90484,6.09702,1.25178,0.00073229,0.00073229,0.00073229
5,14.6121,1.31224,2.52063,3.0832,1.43802,0.22569,0.12121,0.1568,0.1041,0.25247,0.12121,0.14386,0.04947,1.14639,2.9808,7.19155,1.89429,0.00086616,0.00086616,0.00086616
6,16.6272,1.28401,2.60741,3.1953,1.41951,0.1567,0.42424,0.10528,0.06157,0.12262,0.36002,0.06789,0.03036,1.12601,5.18071,7.37362,1.47624,0.00097825,0.00097825,0.00097825
7,18.6248,1.15967,2.40747,2.83625,1.43567,0.5491,0.39394,0.45651,0.26351,0.4578,0.33333,0.37236,0.19434,0.99922,4.15587,6.41562,1.24945,0.00106856,0.00106856,0.00106856
8,20.6901,1.16213,2.4383,2.57749,1.37444,0.54187,0.27273,0.3253,0.19905,0.54187,0.27273,0.31715,0.17094,1.36961,5.27399,8.98189,2.08839,0.00113709,0.00113709,0.00113709
9,22.7465,1.1413,2.00276,2.25165,1.32711,0.4833,0.39394,0.41396,0.25199,0.48981,0.39394,0.3898,0.22519,1.10736,3.43855,10.1305,1.42861,0.00118384,0.00118384,0.00118384
10,24.8652,1.22438,2.52852,3.17947,1.39129,0.52316,0.42424,0.3879,0.22305,0.50578,0.30303,0.25494,0.15944,1.10237,4.64802,6.69809,1.52183,0.001109,0.001109,0.001109
11,28.327,1.28554,2.73283,5.10195,1.67727,0.31968,0.39394,0.24909,0.14856,0.37926,0.29644,0.20336,0.1047,1.18533,1.97525,6.31968,1.45854,0.00101,0.00101,0.00101
12,30.4505,1.26994,2.18095,4.75856,1.54627,0.27826,0.51515,0.34087,0.16752,0.28654,0.51515,0.33652,0.18439,1.46945,1.58129,4.39981,1.84618,0.000911,0.000911,0.000911
13,32.4321,1.27707,2.06527,4.01748,1.54881,0.33708,0.45455,0.32826,0.11967,0.31657,0.42424,0.29225,0.12061,1.65788,1.64986,5.47336,2.50833,0.000812,0.000812,0.000812
14,34.4779,1.13948,1.81335,4.15767,1.43522,0.55112,0.42424,0.45572,0.33272,0.83143,0.29923,0.38741,0.24155,1.12947,1.77592,4.5418,1.30636,0.000713,0.000713,0.000713
15,37.3751,1.07322,1.77938,4.76654,1.30936,0.55201,0.42424,0.4628,0.2775,0.55201,0.42424,0.43482,0.24449,0.93281,1.54211,3.54852,1.10257,0.000614,0.000614,0.000614
16,39.4125,1.09074,1.93747,3.74401,1.41668,0.72138,0.39239,0.47784,0.35127,0.72138,0.39239,0.47825,0.32592,0.82529,1.52512,3.21882,0.96451,0.000515,0.000515,0.000515
17,41.4913,0.97686,1.73884,3.3606,1.26697,0.93601,0.44372,0.5623,0.41794,0.93601,0.44372,0.55411,0.38527,0.77415,1.60381,2.81724,0.86551,0.000416,0.000416,0.000416
18,43.5738,0.92965,1.73885,3.61077,1.25253,0.82418,0.48485,0.60951,0.46349,0.82418,0.48485,0.5755,0.39942,0.70632,1.38727,2.26742,0.78419,0.000317,0.000317,0.000317
19,45.6371,0.97553,1.77261,3.21283,1.32808,0.8603,0.51515,0.63974,0.49616,0.8603,0.51515,0.60997,0.4286,0.67733,1.31373,1.99268,0.76028,0.000218,0.000218,0.000218
20,47.7141,0.71159,1.42452,4.89178,1.07768,0.94245,0.54545,0.65223,0.51412,0.94245,0.54545,0.62109,0.44952,0.69707,1.27822,1.89034,0.77589,0.000119,0.000119,0.000119
