epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5278,1.86789,3.5422,2.76866,1.63101,0.52088,0.51983,0.46274,0.24919,0.53875,0.53653,0.48138,0.24216,0.9584,1.71056,184.46,1.04078,0.00034,0.00034,0.00034
2,12.4735,1.34852,2.1855,1.32623,1.19123,0.37028,0.51148,0.28329,0.14082,0.37267,0.46973,0.25867,0.11297,1.3727,1.84092,115.732,1.39456,0.00066535,0.00066535,0.00066535
3,16.2398,1.30552,2.09971,1.19809,1.16648,0.46263,0.56994,0.49414,0.27797,0.46778,0.56576,0.48943,0.23597,1.17363,1.86736,79.5537,1.66819,0.00095506,0.00095506,0.00095506
4,19.9922,1.20399,1.94921,1.0161,1.13004,0.24649,0.34864,0.14555,0.08203,0.22025,0.28392,0.10965,0.04852,1.02094,3.98417,103.993,1.28193,0.00120913,0.00120913,0.00120913
5,23.6084,1.19833,1.85861,1.01152,1.1362,0.31995,0.27766,0.17334,0.08942,0.30944,0.23382,0.12593,0.05234,1.41933,7.33897,47.7069,2.44559,0.00142756,0.00142756,0.00142756
6,27.4124,1.21368,1.83298,1.06081,1.13443,0.41238,0.51983,0.3015,0.17936,0.41522,0.45511,0.25421,0.11401,0.94798,4.71594,150.94,1.08249,0.001505,0.001505,0.001505
7,31.1444,1.1854,1.8475,0.97575,1.1211,0.72544,0.66745,0.64619,0.38145,0.72269,0.68007,0.657,0.34014,1.1814,1.24263,148.139,1.1925,0.001406,0.001406,0.001406
8,34.9304,1.17282,1.74641,0.85445,1.10674,0.70419,0.65603,0.64738,0.38731,0.7006,0.65136,0.63049,0.3396,0.98785,2.48904,136.587,1.1525,0.001307,0.001307,0.001307
9,38.7368,1.12747,1.75067,0.84785,1.10829,0.65988,0.67236,0.65545,0.43656,0.67695,0.65185,0.64116,0.39396,1.30915,2.38021,58.6938,1.5169,0.001208,0.001208,0.001208
10,42.5314,1.06925,1.66698,0.78945,1.07373,0.71477,0.74948,0.68234,0.4386,0.70712,0.73695,0.66769,0.3751,0.88482,1.14443,39.3933,0.95391,0.001109,0.001109,0.001109
11,47.8191,1.07775,1.66672,0.8737,1.06434,0.67628,0.73904,0.69248,0.47474,0.70475,0.70262,0.67636,0.39009,0.68957,1.25129,8.97372,0.81116,0.00101,0.00101,0.00101
12,51.5169,1.02959,1.5553,0.80331,1.04536,0.82126,0.79958,0.81355,0.56299,0.82083,0.77473,0.77749,0.46711,0.62546,1.02911,6.35991,0.73435,0.000911,0.000911,0.000911
13,55.0594,0.99419,1.52071,0.77243,1.05521,0.78819,0.8002,0.80082,0.55513,0.83195,0.74113,0.77238,0.46773,0.62595,0.8728,3.42657,0.70712,0.000812,0.000812,0.000812
14,58.5419,0.95262,1.4336,0.69155,1.02758,0.8693,0.79145,0.82926,0.59576,0.86385,0.78151,0.81992,0.51157,0.60361,0.83208,3.49699,0.70966,0.000713,0.000713,0.000713
15,62.1121,0.93163,1.43287,0.6864,0.99411,0.87429,0.76827,0.8149,0.57655,0.87108,0.75574,0.79616,0.48213,0.62802,0.84267,5.89283,0.7219,0.000614,0.000614,0.000614
16,65.6326,0.94117,1.42147,0.66922,1.01314,0.86138,0.76827,0.81476,0.57643,0.88049,0.73695,0.79997,0.49141,0.57795,0.89466,5.92924,0.69003,0.000515,0.000515,0.000515
17,69.0392,0.9012,1.3842,0.6386,0.98872,0.87576,0.77244,0.8393,0.60557,0.87576,0.77244,0.82838,0.52443,0.56226,0.84791,2.03189,0.69493,0.000416,0.000416,0.000416
18,72.8732,0.88843,1.32941,0.63748,0.98007,0.87859,0.80793,0.84099,0.60924,0.87599,0.80167,0.82515,0.50027,0.54204,0.77882,1.77729,0.65503,0.000317,0.000317,0.000317
19,76.3338,0.86579,1.32557,0.61292,0.96818,0.86086,0.82672,0.85238,0.63559,0.87088,0.81669,0.84554,0.55896,0.50576,0.74065,1.66884,0.63602,0.000218,0.000218,0.000218
20,79.8374,0.80957,1.26335,0.58192,0.95826,0.86051,0.81837,0.84351,0.62283,0.8638,0.81211,0.83293,0.53414,0.52557,0.73826,1.12942,0.65081,0.000119,0.000119,0.000119
