epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0793,1.52207,2.95056,3.38359,1.42244,0.51056,0.48952,0.44901,0.22891,0.50205,0.47875,0.43821,0.20877,1.29754,1.98221,36.5686,1.5317,0.000653333,0.000653333,0.000653333
2,21.6033,1.38697,2.30948,1.41488,1.2867,0.43632,0.53878,0.39165,0.22443,0.43154,0.52516,0.37457,0.19882,2.07814,2.1075,149.002,3.20168,0.00125466,0.00125466,0.00125466
3,29.422,1.34802,2.18777,1.25427,1.2493,0.62809,0.61782,0.57177,0.32743,0.63258,0.6174,0.56769,0.30678,1.85206,6.16815,70.9226,2.1327,0.00178999,0.00178999,0.00178999
4,37.2349,1.33329,2.11374,1.2332,1.25958,0.78278,0.67715,0.72847,0.47323,0.79603,0.67715,0.73249,0.43669,1.00325,1.30559,17.2025,1.22577,0.001703,0.001703,0.001703
5,45.0593,1.30761,2.04204,1.18906,1.2441,0.81846,0.66143,0.75056,0.46693,0.80497,0.65618,0.73116,0.37351,1.29766,2.2617,113.248,1.34527,0.001604,0.001604,0.001604
6,52.8068,1.23759,1.95043,1.0616,1.21147,0.79166,0.76474,0.76283,0.50588,0.79563,0.7652,0.76384,0.46623,0.85529,1.20561,22.3874,0.94829,0.001505,0.001505,0.001505
7,60.6734,1.13567,1.85854,0.95048,1.1584,0.76798,0.73903,0.77313,0.51246,0.80966,0.71069,0.76659,0.43821,1.00346,1.30404,4.16563,1.23149,0.001406,0.001406,0.001406
8,68.4388,1.13807,1.82082,0.98329,1.16714,0.84594,0.74633,0.77853,0.52805,0.83853,0.73899,0.76058,0.46096,0.9875,1.14695,15.7837,1.07772,0.001307,0.001307,0.001307
9,76.4025,1.1216,1.82336,0.91604,1.1378,0.80953,0.77883,0.80518,0.51428,0.81071,0.77216,0.79326,0.42566,1.04684,1.29628,2.86632,1.13636,0.001208,0.001208,0.001208
10,84.0241,1.07606,1.71812,0.88874,1.12164,0.88279,0.78721,0.84025,0.58204,0.88579,0.78826,0.82628,0.50503,1.10171,1.04314,5.69293,1.2026,0.001109,0.001109,0.001109
11,92.6705,1.09153,1.70992,1.04892,1.14151,0.85693,0.7327,0.79607,0.55499,0.8501,0.72956,0.7813,0.46594,1.03364,1.16076,2.60153,1.15313,0.00101,0.00101,0.00101
12,99.8055,1.13796,1.74958,1.03796,1.18028,0.82289,0.73541,0.77512,0.53477,0.82788,0.72851,0.75628,0.44112,1.02418,1.55404,10.9481,1.15807,0.000911,0.000911,0.000911
13,106.838,1.10026,1.70424,0.96959,1.15009,0.87326,0.71803,0.81908,0.57445,0.8717,0.71488,0.8062,0.51338,0.89384,1.08612,1.48359,1.03608,0.000812,0.000812,0.000812
14,113.89,1.03723,1.63975,0.90506,1.1211,0.85451,0.80922,0.85406,0.61083,0.86159,0.77568,0.8292,0.50912,0.74297,0.98127,1.54191,0.9305,0.000713,0.000713,0.000713
15,120.994,1.02147,1.60093,0.84297,1.09654,0.84547,0.79036,0.83943,0.59238,0.90123,0.74004,0.81397,0.49786,0.92322,0.95953,2.35314,1.01588,0.000614,0.000614,0.000614
16,127.978,0.96059,1.55508,0.97686,1.10171,0.80642,0.77987,0.82632,0.60841,0.87672,0.71698,0.8211,0.55732,0.9411,0.97542,1.19503,1.07803,0.000515,0.000515,0.000515
17,135.076,0.94914,1.52522,0.82961,1.07962,0.85535,0.82914,0.85804,0.62274,0.85419,0.81866,0.84036,0.51782,0.81547,0.95272,1.58416,0.95501,0.000416,0.000416,0.000416
18,142.092,0.91973,1.44946,0.75788,1.05336,0.90223,0.78721,0.86498,0.64125,0.89861,0.78092,0.84566,0.55061,0.77803,0.89076,1.13665,0.92679,0.000317,0.000317,0.000317
19,149.228,0.90288,1.47262,0.74572,1.05944,0.87294,0.83536,0.86938,0.66962,0.86907,0.82101,0.85642,0.5738,0.70743,0.87045,2.18051,0.88548,0.000218,0.000218,0.000218
20,156.311,0.86873,1.37788,0.68546,1.04455,0.89156,0.83438,0.88088,0.6812,0.8867,0.82914,0.86421,0.58312,0.71782,0.8199,0.8878,0.88833,0.000119,0.000119,0.000119
