epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1928,1.49171,5.58905,12.4774,1.88265,0.12366,0.18182,0.04007,0.02219,0.08231,0.12121,0.02087,0.00805,1.09597,4.51711,16.5539,1.29124,0.0002,0.0002,0.0002
2,50.5511,1.21438,3.59722,5.77987,1.54857,0.18758,0.39394,0.17422,0.13542,0.18758,0.39394,0.17046,0.08896,1.22752,4.01771,13.548,1.67588,0.00039228,0.00039228,0.00039228
3,53.9111,1.28003,2.80178,3.2365,1.51548,0.06252,0.12121,0.03198,0.00915,0.10237,0.06061,0.01777,0.00455,2.07182,4.6301,17.1041,2.58769,0.00055552,0.00055552,0.00055552
4,57.1328,1.28606,2.60082,2.99016,1.49478,0.3097,0.54545,0.21756,0.09382,0.30988,0.51515,0.19606,0.07253,1.49446,4.61662,21.6049,3.28995,0.00068972,0.00068972,0.00068972
5,60.0349,1.62154,2.76138,2.78697,1.73919,0.06267,0.21212,0.03522,0.01172,0.04477,0.15152,0.02433,0.00958,2.27323,6.35473,45.4743,3.57004,0.00079488,0.00079488,0.00079488
6,74.6419,1.63477,2.94188,3.42008,2.04847,0.06632,0.12121,0.02807,0.00675,0.04964,0.30303,0.02631,0.00767,1.7978,3.83945,10.966,4.72917,0.000871,0.000871,0.000871
7,77.4855,1.76063,2.55732,3.30397,2.03678,0.27229,0.15152,0.11382,0.04288,0.16242,0.24242,0.11394,0.04059,1.65162,4.60572,9.00317,3.58952,0.00091808,0.00091808,0.00091808
8,80.1605,1.63439,2.70301,3.34355,2.02006,0.41904,0.12121,0.09873,0.05138,0.13404,0.09091,0.06202,0.03066,1.69663,7.16538,8.79265,2.71864,0.00093612,0.00093612,0.00093612
9,82.9035,1.85348,2.47385,3.50428,2.19731,0.01898,0.0303,0.00708,0.00308,0.01898,0.0303,0.00395,0.00151,4.2536,5.14032,54.1444,11.7701,0.00092512,0.00092512,0.00092512
10,85.4851,1.34576,2.14141,5.39569,1.62613,0.03353,0.06311,0.03182,0.0149,0.11774,0.12121,0.03678,0.01679,3.43929,3.9262,12.8564,7.55812,0.000812,0.000812,0.000812
11,87.9288,1.61693,2.46725,2.88769,1.92093,0.03681,0.21212,0.03542,0.01371,0.03681,0.21212,0.03324,0.01351,1.85161,3.43976,55.7786,2.68906,0.00068,0.00068,0.00068
12,90.3277,1.55559,2.35586,2.55927,1.91086,0.18945,0.21212,0.1463,0.06734,0.21788,0.24242,0.1893,0.07425,1.18236,2.39506,14.6241,1.56594,0.000548,0.000548,0.000548
13,92.7075,1.51489,2.06699,2.13809,1.86576,0.46094,0.30303,0.35769,0.19433,0.79951,0.21212,0.29318,0.18733,1.1669,2.60868,9.97212,1.54472,0.000416,0.000416,0.000416
14,95.2313,1.42592,2.07453,2.15412,1.76913,0.34439,0.30303,0.30987,0.18627,0.34439,0.30303,0.28132,0.15686,1.20803,1.76493,3.72677,1.49055,0.000284,0.000284,0.000284
15,97.5221,1.34561,1.90794,2.01859,1.66753,0.61582,0.42424,0.46653,0.31504,0.61582,0.42424,0.43018,0.26786,1.0975,1.5011,2.0947,1.38089,0.000152,0.000152,0.000152
