epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68483,1.83897,3.79653,3.13917,1.51787,0.01075,0.74739,0.23031,0.10122,0.01072,0.7453,0.26365,0.11851,0.98486,1.6086,20.8578,1.07492,0.00034,0.00034,0.00034
2,12.0166,1.46587,2.31445,1.92573,1.17053,0.01114,0.77453,0.20667,0.10757,0.01078,0.74948,0.21994,0.10144,1.5018,2.45997,23.0506,1.35977,0.00066535,0.00066535,0.00066535
3,15.3382,1.36927,2.1696,1.47578,1.179,0.12563,0.22338,0.08676,0.04419,0.11624,0.20668,0.07268,0.03304,1.218,2.76497,25.4241,1.32001,0.00095506,0.00095506,0.00095506
4,18.5792,1.24484,2.04047,1.31835,1.13113,0.56371,0.34258,0.37229,0.21059,0.56504,0.33087,0.3626,0.19679,0.92959,3.01953,26.5255,1.18869,0.00120913,0.00120913,0.00120913
5,21.7599,1.25736,1.95522,1.24598,1.12901,0.53204,0.54489,0.41641,0.24125,0.51999,0.53862,0.4014,0.20375,1.14867,2.59768,27.5933,1.6862,0.00142756,0.00142756,0.00142756
6,24.9886,1.20397,1.88108,1.189,1.10299,0.42606,0.5428,0.33591,0.20153,0.43015,0.53862,0.33342,0.18488,0.79012,2.05968,67.3603,1.11721,0.001505,0.001505,0.001505
7,28.167,1.23769,1.9583,1.15229,1.1124,0.56056,0.59499,0.5167,0.29677,0.5508,0.59081,0.50835,0.28098,1.11387,2.56859,28.0228,1.30475,0.001406,0.001406,0.001406
8,31.427,1.20434,1.89505,1.05111,1.09627,0.60265,0.64092,0.58625,0.3437,0.6153,0.64927,0.58482,0.32038,0.86404,1.95516,43.4328,0.93714,0.001307,0.001307,0.001307
9,34.6285,1.16909,1.84662,1.10174,1.08638,0.69647,0.69459,0.66483,0.41439,0.69647,0.69459,0.65921,0.37438,0.76762,1.07205,29.0781,0.81185,0.001208,0.001208,0.001208
10,37.8422,1.12253,1.76279,1.01754,1.06877,0.78572,0.7119,0.73643,0.49475,0.78036,0.71948,0.72924,0.42653,0.65539,1.27732,15.0269,0.70979,0.001109,0.001109,0.001109
11,42.5198,1.10313,1.64578,1.23871,1.0384,0.70959,0.68058,0.67045,0.43135,0.71782,0.68058,0.66772,0.3819,0.73323,1.04009,28.0862,0.79521,0.00101,0.00101,0.00101
12,45.5824,1.04855,1.60338,1.07074,1.01941,0.72886,0.68685,0.69242,0.45546,0.74171,0.68894,0.68306,0.39944,0.69774,1.1951,16.6322,0.8041,0.000911,0.000911,0.000911
13,48.5583,1.03877,1.6222,1.10314,1.0351,0.81285,0.71634,0.77218,0.53778,0.84021,0.69729,0.75863,0.45749,0.6031,0.95021,14.7266,0.64288,0.000812,0.000812,0.000812
14,51.5814,1.02336,1.57242,1.00701,1.01854,0.83246,0.75157,0.79541,0.54828,0.83475,0.74948,0.79066,0.49207,0.62001,0.92546,19.5351,0.64241,0.000713,0.000713,0.000713
15,54.5703,1.02879,1.53822,1.02932,1.01022,0.82341,0.73069,0.78252,0.55084,0.81871,0.72651,0.77148,0.50122,0.5933,0.90275,12.456,0.6282,0.000614,0.000614,0.000614
16,57.5903,0.97963,1.51193,0.97601,1.00678,0.88213,0.76555,0.8072,0.58662,0.87491,0.75928,0.78931,0.49324,0.55724,0.84942,8.31113,0.62404,0.000515,0.000515,0.000515
17,60.5271,0.9557,1.45291,0.91086,0.98041,0.85044,0.7835,0.80959,0.57816,0.83936,0.77244,0.78488,0.49671,0.55017,0.82899,7.01952,0.61962,0.000416,0.000416,0.000416
18,63.4753,0.93545,1.43674,0.89626,0.97151,0.85937,0.77871,0.8104,0.58094,0.86142,0.74739,0.7846,0.48316,0.55596,0.83999,6.93843,0.60832,0.000317,0.000317,0.000317
19,66.6153,0.93077,1.44309,0.8567,0.96913,0.85699,0.78817,0.82461,0.59524,0.85342,0.77871,0.80494,0.50587,0.52972,0.80176,7.01712,0.5955,0.000218,0.000218,0.000218
20,69.8805,0.8975,1.38172,0.86696,0.97092,0.8863,0.78914,0.83177,0.60873,0.88919,0.76827,0.81081,0.51613,0.53216,0.79165,6.95109,0.59898,0.000119,0.000119,0.000119
