epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.69972,1.39978,5.54095,4.53614,1.67249,0.00151,0.84848,0.08763,0.06942,0.00124,0.69697,0.07491,0.05845,0.79859,2.70662,5.44472,0.97721,0.0002,0.0002,0.0002
2,10.943,0.9569,3.31992,3.659,1.34833,0.00161,0.90909,0.10976,0.0922,0.0014,0.78788,0.10366,0.08666,0.88127,1.81002,5.8384,1.14552,0.00039228,0.00039228,0.00039228
3,13.0504,1.05107,2.62956,3.15716,1.3265,0.00156,0.87879,0.25589,0.12878,0.00129,0.72727,0.26108,0.1403,1.79181,1.8942,8.62325,1.8983,0.00055552,0.00055552,0.00055552
4,15.0719,1.14388,2.27168,3.45512,1.36385,0.00359,0.87879,0.31263,0.19597,0.00272,0.66667,0.30369,0.16587,1.23045,2.13886,6.28541,1.5572,0.00068972,0.00068972,0.00068972
5,17.0614,1.32417,2.58865,3.2309,1.41903,0.41203,0.1279,0.25635,0.15192,0.41203,0.1279,0.24582,0.11996,0.98401,1.99377,5.60114,1.40195,0.00079488,0.00079488,0.00079488
6,20.0851,1.54602,3.50745,5.88016,1.82765,0.44267,0.24242,0.27569,0.18272,0.4415,0.21212,0.26221,0.1348,0.94955,1.99127,6.36065,1.22833,0.000871,0.000871,0.000871
7,21.965,1.40925,2.45124,5.11941,1.66267,0.08588,0.24242,0.04978,0.03386,0.07499,0.15152,0.03975,0.01517,1.08388,12.4131,7.42868,1.35653,0.00091808,0.00091808,0.00091808
8,23.8166,1.26543,2.52097,5.16812,1.5685,0.3855,0.30421,0.24735,0.11757,0.29848,0.21212,0.19798,0.1237,1.29415,2.55889,6.91955,1.89767,0.00093612,0.00093612,0.00093612
9,25.6135,1.3041,2.22611,5.24748,1.59019,0.47955,0.27273,0.3603,0.23046,0.70693,0.21212,0.31938,0.21423,0.93541,2.12277,5.56331,1.19628,0.00092512,0.00092512,0.00092512
10,27.4309,1.01713,1.79288,20.2651,1.20864,0.6702,0.33333,0.3876,0.257,0.48612,0.27273,0.30316,0.21399,1.01409,1.93795,5.65786,1.24033,0.000812,0.000812,0.000812
11,29.3195,1.30665,2.22612,5.02899,1.47832,0.64984,0.27273,0.36288,0.23284,0.64984,0.27273,0.33252,0.18823,1.09676,2.67406,5.74156,1.26825,0.00068,0.00068,0.00068
12,31.181,1.1745,2.12394,4.76039,1.50779,0.61547,0.30303,0.38491,0.25572,0.62418,0.30303,0.35274,0.21946,1.00964,1.90247,4.63863,1.12875,0.000548,0.000548,0.000548
13,33.0383,1.07874,1.87454,4.1253,1.44391,0.7195,0.36364,0.44934,0.28789,0.7195,0.36364,0.42931,0.25692,0.96991,1.54401,4.3979,1.0487,0.000416,0.000416,0.000416
14,34.9465,1.04571,1.8556,4.3831,1.3238,0.78147,0.39394,0.47758,0.33702,0.78147,0.39394,0.47141,0.28722,0.95889,1.49385,4.04128,1.12989,0.000284,0.000284,0.000284
15,36.8619,0.93915,1.79796,5.09258,1.19429,0.74115,0.45455,0.4915,0.37166,0.74115,0.45455,0.47514,0.32234,0.93653,1.49956,3.62139,1.0923,0.000152,0.000152,0.000152
