epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9913,1.99667,4.00188,2.96536,1.5881,0.00775,0.688,0.1354,0.06773,0.00703,0.624,0.15829,0.06888,1.20029,2.58206,6.49506,1.21697,0.00052,0.00052,0.00052
2,13.9765,1.58314,2.63093,1.85761,1.28665,0.6881,0.062,0.21776,0.12094,0.71029,0.064,0.2157,0.1091,1.45097,2.79271,6.77937,2.02882,0.00100753,0.00100753,0.00100753
3,18.834,1.45402,2.36333,1.59241,1.21999,0.27257,0.19,0.16809,0.08753,0.34903,0.15,0.15716,0.06889,1.30251,2.18146,7.99882,1.63262,0.0014416,0.0014416,0.0014416
4,23.5462,1.41925,2.32517,1.46253,1.22729,0.19697,0.38,0.18131,0.09707,0.19757,0.384,0.17985,0.08331,2.95344,14.9857,52.1765,3.82119,0.001703,0.001703,0.001703
5,28.0189,1.36671,2.22603,1.33258,1.19017,0.55658,0.53723,0.49486,0.29544,0.56556,0.534,0.49183,0.27712,1.18952,2.40066,4.37644,1.39373,0.001604,0.001604,0.001604
6,32.5637,1.31569,2.11696,1.30541,1.17649,0.66054,0.474,0.51361,0.31682,0.675,0.47,0.502,0.27243,1.10684,1.69787,3.85595,1.27805,0.001505,0.001505,0.001505
7,37.3312,1.29235,2.08283,1.21373,1.16359,0.77952,0.64,0.68395,0.41307,0.78942,0.62,0.66877,0.35298,1.06693,1.77745,5.60292,1.184,0.001406,0.001406,0.001406
8,41.8792,1.26173,2.07461,1.19651,1.16194,0.76237,0.648,0.69008,0.43552,0.75478,0.642,0.66748,0.35714,1.02137,2.03922,6.2621,1.09918,0.001307,0.001307,0.001307
9,46.3561,1.21765,1.93709,1.15662,1.12067,0.80972,0.618,0.68838,0.43768,0.81083,0.616,0.67776,0.36636,0.82061,1.22824,3.09381,0.89937,0.001208,0.001208,0.001208
10,51.3184,1.17967,1.9154,1.1051,1.10721,0.78209,0.67473,0.7054,0.47003,0.8037,0.674,0.70294,0.41715,0.88239,1.64375,3.49717,0.92321,0.001109,0.001109,0.001109
11,57.9368,1.21212,1.90884,1.32962,1.09805,0.77843,0.634,0.70291,0.45823,0.78296,0.638,0.69873,0.40477,0.91959,1.86747,3.88287,1.00155,0.00101,0.00101,0.00101
12,62.1608,1.16144,1.84833,1.25537,1.08716,0.78325,0.69381,0.73158,0.45765,0.87038,0.63121,0.71756,0.4069,1.21771,1.32783,3.43308,1.25832,0.000911,0.000911,0.000911
13,66.513,1.16079,1.80143,1.15884,1.10659,0.78492,0.624,0.66815,0.44453,0.77234,0.614,0.65644,0.38871,0.89995,1.37766,3.25334,0.98399,0.000812,0.000812,0.000812
14,70.6922,1.09897,1.6666,1.06257,1.05449,0.82679,0.68738,0.74019,0.49587,0.83269,0.68682,0.73351,0.44174,0.84458,1.16595,2.20982,0.94578,0.000713,0.000713,0.000713
15,74.916,1.09677,1.66701,1.04313,1.06022,0.79071,0.71,0.73494,0.48577,0.78305,0.712,0.7312,0.43864,0.8752,1.19434,2.80741,0.9667,0.000614,0.000614,0.000614
16,79.3309,1.03095,1.56356,1.06555,1.05206,0.84816,0.708,0.76842,0.52871,0.85055,0.71,0.7578,0.45081,0.78802,1.2053,1.75559,0.89027,0.000515,0.000515,0.000515
17,83.7023,1.02522,1.57898,0.94893,1.02798,0.82338,0.71794,0.7676,0.51913,0.82415,0.72174,0.74929,0.46532,0.72101,1.19952,1.36207,0.84078,0.000416,0.000416,0.000416
18,87.9164,1.0182,1.61903,0.96498,1.04041,0.84052,0.746,0.78818,0.5417,0.84052,0.746,0.7709,0.45965,0.74944,1.07895,1.38319,0.89145,0.000317,0.000317,0.000317
19,92.4125,0.95289,1.50026,0.8671,0.99766,0.85415,0.73792,0.7785,0.54697,0.85616,0.73809,0.76675,0.48672,0.70372,1.03328,1.13254,0.80771,0.000218,0.000218,0.000218
20,96.743,0.93381,1.54352,0.89863,0.99846,0.87033,0.75174,0.79942,0.57224,0.8635,0.74646,0.7858,0.49846,0.65542,1.02035,1.11448,0.76565,0.000119,0.000119,0.000119
